Date,Close,Volume,Open,High,Low
08/24/2010, $34.2757, 150183995, $34.6671, $34.7143, $34.0928
08/23/2010, $35.1143, 103289091, $35.97, $36, $35.0357
08/20/2010, $35.6628, 95681559, $35.6271, $36.2743, $35.5714
08/19/2010, $35.6971, 106533662, $36.12, $36.2114, $35.5257
08/18/2010, $36.1528, 84548265, $36.0514, $36.3814, $35.94
08/17/2010, $35.9957, 105546662, $35.7257, $36.3757, $35.6
08/16/2010, $35.3771, 79420764, $35.3686, $35.7157, $35.2314
08/13/2010, $35.5857, 88560037, $35.95, $35.9828, $35.5843
08/12/2010, $35.97, 133552620, $35.2414, $36.1571, $35.16
08/11/2010, $35.7414, 154454626, $36.4857, $36.5271, $35.6871
08/10/2010, $37.0586, 112874754, $37.1214, $37.2071, $36.7928
08/09/2010, $37.3928, 75552633, $37.3543, $37.45, $37.0814
08/06/2010, $37.1558, 111151143, $37.1114, $37.3557, $36.8043
08/05/2010, $37.3857, 72257102, $37.39, $37.5971, $37.2214
08/04/2010, $37.5686, 105052042, $37.5486, $37.7543, $37.1873
08/03/2010, $37.4186, 104082541, $37.2871, $37.6086, $37.06
08/02/2010, $37.4071, 106583082, $37.2057, $37.5128, $37.0886
07/30/2010, $36.75, 112029784, $36.5561, $37.1, $36.4143
07/29/2010, $36.8728, 160834008, $37.2443, $37.5214, $36.5857
07/28/2010, $37.28, 129737759, $37.6671, $37.9986, $37.1786
07/27/2010, $37.7257, 145188934, $37.2671, $37.8286, $37.1857
07/26/2010, $37.04, 104188731, $37.1428, $37.1571, $36.8157
07/23/2010, $37.1343, 133236640, $36.7271, $37.1971, $36.6114
07/22/2010, $37.0034, 161139628, $36.8114, $37.1428, $36.4728
07/21/2010, $36.32, 295973249, $37.87, $37.8786, $36.2857
07/20/2010, $35.9843, 263591379, $34.7, $36.1286, $34.2871
07/19/2010, $35.0828, 255842447, $35.6971, $35.6971, $34.2286
07/16/2010, $35.7, 259540618, $36.1686, $36.4243, $35.4871
07/15/2010, $35.9214, 205060442, $35.4614, $36.71, $35.3286
07/14/2010, $36.1038, 202950851, $35.6257, $36.5428, $35.5714
07/13/2010, $35.9711, 296797219, $36.6171, $36.6286, $35.2043
07/12/2010, $36.755, 140474992, $36.9328, $37.4071, $36.4086
07/09/2010, $37.0886, 108260072, $36.6986, $37.1286, $36.4514
07/08/2010, $36.87, 184252935, $37.4971, $37.5571, $36.4128
07/07/2010, $36.9521, 163169979, $35.7843, $36.9671, $35.6786
07/06/2010, $35.5186, 153559326, $35.8571, $36.1143, $35.1657
07/02/2010, $35.2771, 173446612, $35.7843, $35.8471, $34.7428
07/01/2010, $35.4971, 255527517, $36.3286, $36.4, $34.7457
06/30/2010, $35.9328, 184538045, $36.6728, $36.8528, $35.7157
06/29/2010, $36.5957, 282782865, $37.7316, $37.77, $36.3286
06/28/2010, $38.3286, 146186434, $38.1328, $38.5357, $37.7886
06/25/2010, $38.1, 136678611, $38.58, $38.61, $37.9728
06/24/2010, $38.4286, 178309303, $38.7143, $39.0278, $38.3
06/23/2010, $38.71, 191838418, $39.2257, $39.2371, $38.2714
06/22/2010, $39.1214, 178776694, $38.88, $39.4243, $38.7857
06/21/2010, $38.5957, 193217628, $39.67, $39.8586, $38.39
06/18/2010, $39.1534, 195928029, $38.8928, $39.2857, $38.7743
06/17/2010, $38.8386, 217872895, $38.6571, $38.9857, $38.5
06/16/2010, $38.1786, 195557169, $37.3, $38.25, $37.2329
06/15/2010, $37.0986, 145862054, $36.52, $37.1214, $36.5
06/14/2010, $36.3257, 150469315, $36.5657, $37.0214, $36.2871
06/11/2010, $36.2157, 136154451, $35.4607, $36.2657, $35.3386
06/10/2010, $35.7871, 193507918, $34.9771, $35.8543, $34.6
06/09/2010, $34.7428, 213040094, $35.9243, $35.9857, $34.6414
06/08/2010, $35.6186, 249904415, $36.1771, $36.2571, $35.0928
06/07/2010, $35.8486, 221253336, $36.8986, $37.0214, $35.7928
06/04/2010, $36.5664, 189045767, $36.8871, $37.4143, $36.3757
06/03/2010, $37.5886, 162341809, $37.8828, $37.9357, $37.2014
06/02/2010, $37.7071, 171594061, $37.7914, $37.8286, $37.1907
06/01/2010, $37.2614, 218455576, $37.0986, $37.9914, $36.9943
05/28/2010, $36.6971, 203645811, $37.0554, $37.0571, $36.1928
05/27/2010, $36.1928, 165270400, $35.8, $36.27, $35.5871
05/26/2010, $34.8727, 212125404, $35.7257, $36.0186, $34.8214
05/25/2010, $35.0314, 261342838, $34.1928, $35.2514, $33.88
05/24/2010, $35.2514, 188078156, $35.3257, $35.8428, $35.18
05/21/2010, $34.6171, 305744272, $33.26, $34.9286, $33.05
05/20/2010, $33.9657, 319497456, $34.5543, $34.8357, $33.7443
05/19/2010, $35.4771, 256089547, $35.6428, $36.1314, $34.9786
05/18/2010, $36.0514, 194856888, $36.7114, $36.9357, $35.7514
05/17/2010, $36.3171, 190413707, $36.3857, $36.5971, $35.3871
05/14/2010, $36.26, 189368537, $36.4521, $36.64, $35.6428
05/13/2010, $36.9086, 149704075, $37.6028, $37.8571, $36.6286
05/12/2010, $37.4414, 163385299, $37.035, $37.59, $36.9571
05/11/2010, $36.6457, 212068004, $35.9771, $37.1271, $35.7857
05/10/2010, $36.2843, 245539284, $35.75, $36.3786, $35.5043
05/07/2010, $33.6943, 418562326, $34.8157, $35.2243, $32.1728
05/06/2010, $35.1786, 319584886, $36.2614, $36.8928, $28.4643
05/05/2010, $36.5693, 220353346, $36.1471, $36.8771, $35.5328
05/04/2010, $36.9543, 180620564, $37.5557, $37.6128, $36.6786
05/03/2010, $38.05, 113343684, $37.6914, $38.2686, $37.5543
04/30/2010, $37.2986, 135421971, $38.4728, $38.6528, $37.2857
04/29/2010, $38.3771, 139522502, $37.5743, $38.5714, $37.43
04/28/2010, $37.3714, 189375537, $37.6071, $37.7143, $36.63
04/27/2010, $37.4343, 176955713, $38.1814, $38.2628, $37.2171
04/26/2010, $38.5, 119378876, $38.84, $38.9228, $38.3128
04/23/2010, $38.69, 198906390, $38.2843, $38.8828, $38.1428
04/22/2010, $38.0671, 197849809, $36.8914, $38.1071, $36.6
04/21/2010, $37.0314, 245072944, $36.9721, $37.1786, $36.5328
04/20/2010, $34.9414, 177792843, $35.5057, $35.6071, $34.7078
04/19/2010, $35.2957, 141571402, $35.29, $35.4128, $34.5386
04/16/2010, $35.3428, 187514026, $35.51, $35.8771, $34.9357
04/15/2010, $35.56, 93876048, $35.1114, $35.5757, $35.0728
04/14/2010, $35.0986, 100827750, $35.04, $35.1157, $34.8671
04/13/2010, $34.6328, 76184103, $34.5514, $34.6857, $34.4443
04/12/2010, $34.6128, 83236885, $34.6, $34.7243, $34.5443
04/09/2010, $34.5414, 83443105, $34.49, $34.5557, $34.3514
04/08/2010, $34.2786, 142899723, $34.3486, $34.5057, $34.0057
04/07/2010, $34.3714, 156909177, $34.2457, $34.56, $34.0943
04/06/2010, $34.22, 111431983, $34.0286, $34.32, $33.8571
04/05/2010, $34.07, 170363601, $33.5678, $34.0728, $33.5386
04/01/2010, $33.71, 150568295, $33.9271, $34.1043, $33.25
03/31/2010, $33.5714, 107438412, $33.6414, $33.8014, $33.4943
03/30/2010, $33.6921, 131326339, $33.8004, $33.9257, $33.4643
03/29/2010, $33.1986, 130887089, $33.2857, $33.41, $33.0886
03/26/2010, $32.9857, 159986658, $32.7071, $33.1357, $32.65
03/25/2010, $32.3786, 135463131, $32.9886, $32.9957, $32.3214
03/24/2010, $32.7671, 149419805, $32.52, $32.8857, $32.5014
03/23/2010, $32.6228, 150384825, $32.2343, $32.6828, $32.0143
03/22/2010, $32.1071, 113828294, $31.4957, $32.2857, $31.45
03/19/2010, $31.75, 139669082, $32.1128, $32.1771, $31.6043
03/18/2010, $32.0928, 85156076, $32.0143, $32.1428, $31.8014
03/17/2010, $32.0171, 112501374, $32.1286, $32.35, $31.8957
03/16/2010, $32.0643, 111581993, $32.0257, $32.14, $31.7871
03/15/2010, $31.9771, 123005437, $32.1971, $32.2143, $31.4643
03/12/2010, $32.3714, 103841951, $32.4814, $32.5328, $32.25
03/11/2010, $32.2143, 101209110, $31.9871, $32.2143, $31.9028
03/10/2010, $32.12, 148907755, $31.9757, $32.2114, $31.8857
03/09/2010, $31.86, 229908139, $31.1871, $32.1428, $31.1271
03/08/2010, $31.2971, 107326832, $31.43, $31.4414, $31.1786
03/05/2010, $31.2786, 224647427, $30.7057, $31.3857, $30.6614
03/04/2010, $30.1014, 89591907, $29.8971, $30.1314, $29.8043
03/03/2010, $29.9043, 92846488, $29.8486, $29.9814, $29.7057
03/02/2010, $29.8357, 141486282, $29.99, $30.1186, $29.6771
03/01/2010, $29.8557, 137312041, $29.3928, $29.9286, $29.35
